Slno,Product Name,Category,Brand,SKU/Code,Description,Price,MRP (if different),Discount (if any),Stock Quantity,Product Image File Name,"Unit (e.g., piece, meter)",Warranty (if applicable),Tax/HSN details (if required)
1,1.0sqmm Wire,Wires & Cables,Finolex,FIN010303S,Finolex Flame retardant (FR) Pvc insulated cable. Single core unsheathed industrial cables with flame retardant properties & multistrand rare copper conductor,1205,1700,40%,100,,per coil,NA,85446090
2,1.5sqmm wire,Wires & Cables,Finolex,FIN015303S,Finolex Flame retardant (FR) Pvc insulated cable. Single core unsheathed industrial cables with flame retardant properties & multistrand rare copper conductor,1779,2475,39%,100,,per coil,NA,85446090
3,2.5sqmm wire,Wires & Cables,Finolex,FIN025303S,Finolex Flame retardant (FR) Pvc insulated cable. Single core unsheathed industrial cables with flame retardant properties & multistrand rare copper conductor,2879,4000,39%,100,,per coil,NA,85446090
4,4.0sqmm wire,Wires & Cables,Finolex,FIN040303S,Finolex Flame retardant (FR) Pvc insulated cable. Single core unsheathed industrial cables with flame retardant properties & multistrand rare copper conductor,4439,6170,39%,100,,per coil,NA,85446090
5,1.0sqmm wire,Wires & Cables,Kundan cable,KUN01020,Kundan Cable Flame retardant (FR) Pvc insulated cable. Single core unsheathed industrial cables with flame retardant properties & multistrand rare copper conductor,1049,2144,51%,100,,per coil,NA,85446090
6,1.5sqmm wire,Wires & Cables,Kundan cable,KUN01520,Kundan Cable Flame retardant (FR) Pvc insulated cable. Single core unsheathed industrial cables with flame retardant properties & multistrand rare copper conductor,1599,3264,51%,100,,per coil,NA,85446090
7,2.5sqmm wire,Wires & Cables,Kundan cable,KUN02520,Kundan Cable Flame retardant (FR) Pvc insulated cable. Single core unsheathed industrial cables with flame retardant properties & multistrand rare copper conductor,2581,5269,51%,100,,per coil,NA,85446090
8,4.0Sqmm wire,Wires & Cables,Kundan cable,KUN04020,Kundan Cable Flame retardant (FR) Pvc insulated cable. Single core unsheathed industrial cables with flame retardant properties & multistrand rare copper conductor,3809,7774,51%,100,,per coil,NA,85446090
9,10w Inverter bulb,LED Emergency Bulb,Sturlite,STU10EB3H,"SMD LED chip, CRI>80, IP20,Bright light output, charging 6-8 hours, over charge protection, 6k - 3Hr back up, 900Lumens, B22 base, Dimensions 70x140mm.",214.08,446,52%,100,,Per unit,1 year replacement,
10,10w Inverter bulb,LED Emergency Bulb,Sturlite,STU10EB4H,"SMD LED chip, CRI>80, IP20,Bright light output, charging 6-8 hours, over charge protection, 6k - 4Hr back up, 900Lumens, B22 base, Dimensions 70x140mm.",223.2,465,52%,100,,Per unit,1 year replacement,
11,10w Inverter bulb,LED Emergency Bulb,Sturlite,STU10EB6H,"SMD LED chip, CRI>80, IP20,Bright light output, charging 6-8 hours, over charge protection, 6k - 6Hr back up, 900Lumens, B22 base, Dimensions 70x140mm.",266.4,555,52%,100,,Per unit,1 year replacement,
12,30w Flood light,LED Flood Light ,Sturlite,STU0207-30W,"SMD LED chip, CRI>80,25000hrs life span, IP66, ADC12 Diecast housing rust proof, Adjustable bracket, upto 6.0KV Surge protection, 100Lumen/watt ",487.2,1015,52%,100,,Per Unit,2 year Warranty,
13,50w Flood Light,LED Flood Light ,Sturlite,STU0207-50W,"SMD LED chip, CRI>80,25000hrs life span, IP66, ADC12 Diecast housing rust proof, Adjustable bracket, upto 6.0KV Surge protection, 100Lumen/watt ",672,1400,52%,100,,Per Unit,2 year Warranty,
14,100w Flood Light,LED Flood Light ,Sturlite,STU0207-100W,"SMD LED chip, CRI>80,25000hrs life span, IP66, ADC12 Diecast housing rust proof, Adjustable bracket, upto 6.0KV Surge protection, 100Lumen/watt ",1101.6,2295,52%,100,,Per Unit,2 year Warranty,
15,150w Flood light,LED Flood Light ,Sturlite,STU0207-1500W,"SMD LED chip, CRI>80,25000hrs life span, IP66, ADC12 Diecast housing rust proof, Adjustable bracket, upto 6.0KV Surge protection, 100Lumen/watt ",1852.8,3860,52%,100,,Per Unit,2 year Warranty,
16,200w Flood Light,LED Flood Light ,Sturlite,STU0207-200W,"SMD LED chip, CRI>80,25000hrs life span, IP66, ADC12 Diecast housing rust proof, Adjustable bracket, upto 6.0KV Surge protection, 100Lumen/watt ",2236.8,4660,52%,100,,Per Unit,2 year Warranty,
